Date,Difficulty
2019-10-15,13008091666972.0
2019-10-16,13008091666972.0
2019-10-17,13008091666972.0
2019-10-18,13008091666972.0
2019-10-19,13008091666972.0
2019-10-20,13008091666972.0
2019-10-21,13008091666972.0
2019-10-22,13008091666972.0
2019-10-23,13008091666972.0
2019-10-24,13008091666972.0
2019-10-25,13008091666972.0
2019-10-26,13691480038694.0
2019-10-27,13691480038694.0
2019-10-28,13691480038694.0
2019-10-29,13691480038694.0
2019-10-30,13691480038694.0
2019-10-31,13691480038694.0
2019-11-01,13691480038694.0
2019-11-02,13691480038694.0
2019-11-03,13691480038694.0
2019-11-04,13691480038694.0
2019-11-05,13691480038694.0
2019-11-06,13691480038694.0
2019-11-07,13669891710442.8
2019-11-08,13669891710442.8
2019-11-09,13669891710442.8
2019-11-10,13669891710442.8
2019-11-11,12720005267391.0
2019-11-12,12720005267391.0
2019-11-13,12720005267391.0
2019-11-14,12720005267391.0
2019-11-15,12720005267391.0
2019-11-16,12720005267391.0
2019-11-17,12720005267391.0
2019-11-18,12720005267391.0
2019-11-19,12720005267391.0
2019-11-20,12720005267391.0
2019-11-21,12720005267391.0
2019-11-22,12720005267391.0
2019-11-23,12973235968800.0
2019-11-24,12973235968800.0
2019-11-25,12973235968800.0
2019-11-26,12973235968800.0
2019-11-27,12973235968800.0
2019-11-28,12973235968800.0
2019-11-29,12973235968800.0
2019-11-30,12973235968800.0
2019-12-01,12973235968800.0
2019-12-02,12973235968800.0
2019-12-03,12973235968800.0
2019-12-04,12973235968800.0
2019-12-05,12955951549096.1
2019-12-06,12955951549096.1
2019-12-07,12955951549096.1
2019-12-08,12955951549096.1
2019-12-09,12876842089682.0
2019-12-10,12876842089682.0
2019-12-11,12876842089682.0
2019-12-12,12876842089682.0
2019-12-13,12876842089682.0
2019-12-14,12876842089682.0
2019-12-15,12876842089682.0
2019-12-16,12876842089682.0
2019-12-17,12876842089682.0
2019-12-18,12876842089682.0
2019-12-19,12876842089682.0
2019-12-20,12876842089682.0
2019-12-21,12948593420946.0
2019-12-22,12948593420946.0
2019-12-23,12948593420946.0
2019-12-24,12948593420946.0
2019-12-25,12948593420946.0
2019-12-26,12948593420946.0
2019-12-27,12948593420946.0
2019-12-28,12948593420946.0
2019-12-29,12948593420946.0
2019-12-30,12948593420946.0
2019-12-31,12948593420946.0
2020-01-01,12948593420946.0
2020-01-02,13798783827516.0
2020-01-03,13798783827516.0
2020-01-04,13798783827516.0
2020-01-05,13798783827516.0
2020-01-06,13798783827516.0
2020-01-07,13798783827516.0
2020-01-08,13798783827516.0
2020-01-09,13798783827516.0
2020-01-10,13798783827516.0
2020-01-11,13798783827516.0
2020-01-12,13798783827516.0
2020-01-13,13798783827516.0
2020-01-14,13819009697340.3
2020-01-15,13819009697340.3
2020-01-16,13819009697340.3
2020-01-17,13819009697340.3
2020-01-18,14776367535689.0
2020-01-19,14776367535689.0
2020-01-20,14776367535689.0
2020-01-21,14776367535689.0
2020-01-22,14776367535689.0
2020-01-23,14776367535689.0
2020-01-24,14776367535689.0
2020-01-25,14776367535689.0
2020-01-26,14776367535689.0
2020-01-27,14776367535689.0
2020-01-28,14776367535689.0
2020-01-29,14776367535689.0
2020-01-30,15466098935555.0
2020-01-31,15466098935555.0
2020-02-01,15466098935555.0
2020-02-02,15466098935555.0
2020-02-03,15466098935555.0
2020-02-04,15466098935555.0
2020-02-05,15466098935555.0
2020-02-06,15466098935555.0
2020-02-07,15466098935555.0
2020-02-08,15466098935555.0
2020-02-09,15466098935555.0
2020-02-10,15466098935555.0
2020-02-11,15521134947902.1
2020-02-12,15521134947902.1
2020-02-13,15521134947902.1
2020-02-14,15521134947902.1
2020-02-15,15546745765529.0
2020-02-16,15546745765529.0
2020-02-17,15546745765529.0
2020-02-18,15546745765529.0
2020-02-19,15546745765529.0
2020-02-20,15546745765529.0
2020-02-21,15546745765529.0
2020-02-22,15546745765529.0
2020-02-23,15546745765529.0
2020-02-24,15546745765529.0
2020-02-25,15546745765529.0
2020-02-26,15546745765529.0
2020-02-27,15486913440293.0
2020-02-28,15486913440293.0
2020-02-29,15486913440293.0
2020-03-01,15486913440293.0
2020-03-02,15486913440293.0
2020-03-03,15486913440293.0
2020-03-04,15486913440293.0
2020-03-05,15486913440293.0
2020-03-06,15486913440293.0
